Order_ID,Customer_Name,Customer_Location,Restaurant_Name,Cuisine,Order_Date,Delivery_Time_Minutes,Order_Amount,Delivery_Partner,Payment_Method,Rating,Review_Text,Review_Date,Is_Discount_Applied,Restaurant_Location
ORD000001,Julie Mcguire,Lake Randyland,Fernandez-Robinson,Indian,2023-05-05,20,990.34,Partner D,UPI,2,Action act well last plant rather within seat adult go can capital.,2024-11-20,FALSE,Sanchezhaven
ORD000002,Nancy White,Jonesshire,"Cooley, Summers and Lucas",Chinese,2023-05-08,63,363.19,Partner A,UPI,2,Father issue side almost poor camera.,2024-12-18,TRUE,West Patrickbury
ORD000003,Alexander Paul,Port Benjaminview,Ross LLC,Italian,2023-11-18,113,1409.9,Partner D,UPI,3,Management interesting figure rise spring let push radio goal question wall.,2024-03-31,FALSE,Roberttown
ORD000004,Amy Gregory,Lake Michael,"Hernandez, Reyes and Miller",Chinese,2023-08-23,64,421.28,Partner D,Credit Card,3,Could for full billion resource human president fear reach boy evening.,2023-04-06,TRUE,Richardshire
ORD000005,Mrs. Kristen Ferrell MD,East Rogerfort,Wall LLC,Indian,2023-06-27,12,1838.11,Partner A,Cash,4,Trial major research week sure happen main yet treat player.,2024-07-15,TRUE,Port Donborough
ORD000006,Stephanie Sandoval,South Justinmouth,"Allen, Smith and Martinez",Thai,2024-03-03,68,1053.52,Partner B,UPI,5,Anyone hot card material realize include six food stock house wall those.,2023-02-12,TRUE,Everettport
ORD000007,Dorothy Farrell,Edwardhaven,"Thompson, Williams and Cardenas",Thai,2024-10-10,15,161.02,Partner C,UPI,1,Expert window body nothing author small half throw choose opportunity evening everyone.,2024-07-24,FALSE,Elizabethmouth
ORD000008,Michael Bass,Paulstad,Alvarado PLC,Chinese,2024-01-19,108,1949.17,Partner C,Net Banking,2,Something inside protect pay Congress service tough represent room top baby.,2023-06-24,FALSE,Ricardostad
ORD000009,Alexandria Johns,East Trevorchester,Williams-Brooks,Mexican,2024-11-14,12,1779.11,Partner D,Debit Card,1,Guess short and guess camera down perhaps table.,2023-02-01,FALSE,Washingtonview
ORD000010,Matthew Silva,South Juanside,"Evans, Morris and Warner",Chinese,2024-12-17,73,638.39,Partner C,Debit Card,5,Teach stock court big alone drug.,2024-10-04,FALSE,North Nicholasstad
ORD000011,Paul Baker,Joshuastad,Russell LLC,Indian,2024-11-07,16,627.43,Partner A,Debit Card,4,Feel factor rise certainly share serious information economy act.,2023-04-14,FALSE,North Christina
ORD000012,Michael Myers,Briggsville,Hernandez-Davis,Japanese,2024-10-09,38,1035.88,Partner A,Credit Card,4,Its just sister shoulder capital far wrong note read lead yes professional car.,2023-04-28,TRUE,Markmouth
ORD000013,Jane Bowman,Michaelland,"Perez, Novak and Boyer",Italian,2024-10-25,53,1434.64,Partner C,Credit Card,2,Lot fly agent effort per worry program either process suggest.,2024-03-10,FALSE,Carriechester
